,name,address,hierarchy,lat_coordinates,long_coordinates,weighting,img_source,link,neighbour_1,neighbour_2,neighbour_3
13,The Pen And Pencil,"Fourways House, 57 Hilton St, Manchester M1 2EJ",0,53.48122,-2.2317,1.0,https://www.facebook.com/thepenandpencil,https://thepenandpencilnq.co.uk/,0,24,23
14,Crazy Pedro’s,"55-57 Bridge St, M3 3BQ",0,53.481312,-2.25055,1.0,https://www.facebook.com/CrazyPedros,https://crazypedros.co.uk/manchester/,21,7,19
15,Gaucho Manchester,"2A St Mary's St, Manchester M3 2LB",0,53.51145,-2.18211,1.0,https://www.facebook.com/GauchoMCR,https://gauchorestaurants.com/menus/manchester/,26,13,0
16,Campo Blanco,"1 Moss Ln, Whitefield, Manchester M45 6QE",0,53.54806,-2.29226,1.0,https://www.facebook.com/campoblanco/about,https://www.campoblanco.co.uk/,17,21,14
17,Menagerie,"New Bailey, Ground One, New Bailey St, Salford M3 5JL",0,53.48221,-2.25375,1.0,https://www.facebook.com/MenagerieMCR/about,https://menagerierestaurant.co.uk/,14,21,7
18,Motley,"115 Deansgate, Manchester M3 2NW",0,53.47888,-2.24917,1.0,https://www.facebook.com/motleymanchester1/about,https://motleymanchester.co.uk/,7,19,14
19,La Bandera,"2 Ridgefield, Manchester M2 6EQ",0,53.48065,-2.24732,1.0,https://www.facebook.com/labanderamanchester/photos_by,https://labandera.co.uk/,7,21,14
20,Fress,"62 Oldham St, Manchester M4 1LE",0,53.48363,-2.23405,1.0,https://www.facebook.com/fressnq/about,https://fress.uk/,25,1,8
21,Dishoom,"32 Bridge St, Manchester M3 3BT",0,53.481339,-2.25052,0.85,https://www.facebook.com/dishoommanchester/about,https://www.dishoom.com/manchester/,14,7,19
22,Moose Coffee,"Barton Arcade, Manchester M3 2BW",0,53.47888,-2.24917,1.0,https://www.moosecoffee.co/,https://www.moosecoffee.co/,7,19,14
23,Idle Hands Coffee,"35 Dale St, Manchester M1 2HF",0,53.48131,-2.23318,1.0,https://www.idlehandscoffee.com/,https://www.idlehandscoffee.com/,24,0,13
24,Takk,"6 Tariff St, Manchester M1 2FF",0,53.481022,-2.23309,1.0,https://www.facebook.com/takkmcr/photos_by,https://takkmcr.com/,23,0,13
25,Kong's,"101, 103 Oldham St, Manchester M4 1LW",0,53.48378,-2.23405,1.0,https://www.facebook.com/profile.php?id=100075906057462&sk=about,https://www.manchestersfinest.com/places/kongs-nq/,20,1,8
26,Escape to Freight Island,"11 Baring St, Manchester M1 2PZ",0,53.47637,-2.22709,1.0,https://www.facebook.com/freightisland/about,https://www.escapetofreightisland.com/,13,24,23
27,Manchester Art Gallery,"Mosley St, Manchester M2 3JL",1,53.479721,-2.24077,1.0,https://www.facebook.com/ManchesterArtGallery/photos_of,https://manchesterartgallery.org/,43,42,41
28,HOME,"2 Tony Wilson Pl, Manchester M15 4FN",1,53.47398,-2.24569,0.85,https://www.facebook.com/HOMEmcr/photos_by,https://homemcr.org/,50,35,27
29,Rogue Artists’ Studios,"4 Barrass St, Openshaw, Manchester M11 1WP",1,53.47061,-2.16822,1.0,https://www.facebook.com/RogueArtistsStudios/photos_by,https://rastudios.co.uk/,46,45,32
30,Salford Museum and Art Gallery,"Crescent, Salford M5 4WU",1,53.481281,-2.29699,1.0,https://www.facebook.com/pages/Salford%20Museum%20and%20Art%20Gallery/143042155712756/photos/,https://salfordmuseum.com/,31,33,37
